similarity,combination
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMath.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'PAXImplementationV2.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'PAXImplementation.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'SafeMathMock.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'PAXImplementationV1.sol']
14,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol']
5,['PAXWithBalance.sol', 'Migrations.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementationV2.sol']
1,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'AddressUtils.sol']
23,['PAXWithBalance.sol', 'Migrations.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementationV1.sol']
8,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
14,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
4,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol']
13,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol']
11,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
14,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
36,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
6,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
5,['PAXWithBalance.sol', 'SafeMath.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'SafeMath.sol', 'PAXImplementationV2.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol', 'PAXImplementation.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol', 'SafeMathMock.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol', 'AddressUtils.sol']
7,['PAXWithBalance.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'SafeMath.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
5,['PAXWithBalance.sol', 'Proxy.sol', 'PAXImplementation.sol']
5,['PAXWithBalance.sol', 'Proxy.sol', 'SafeMathMock.sol']
4,['PAXWithBalance.sol', 'Proxy.sol', 'AddressUtils.sol']
23,['PAXWithBalance.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
5,['PAXWithBalance.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
1,['PAXWithBalance.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
1,['PAXWithBalance.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
16,['PAXWithBalance.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
