similarity,combination
1,['Migrations.sol', 'SafeMath.sol']
1,['Migrations.sol', 'SafeMathMock.sol']
1,['Migrations.sol', 'StablecoinWithBalance.sol']
5,['Migrations.sol', 'ERC20Proxy.sol']
2,['Migrations.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'AddressUtils.sol']
3,['Migrations.sol', 'UpgradeabilityStorage.sol']
1,['SafeMath.sol', 'SafeMathMock.sol']
1,['SafeMath.sol', 'StablecoinWithBalance.sol']
4,['SafeMath.sol', 'ERC20Proxy.sol']
2,['SafeMath.sol', 'StablecoinImplementation.sol']
3,['SafeMath.sol', 'AddressUtils.sol']
2,['SafeMath.sol', 'UpgradeabilityStorage.sol']
1,['SafeMathMock.sol', 'StablecoinWithBalance.sol']
4,['SafeMathMock.sol', 'ERC20Proxy.sol']
2,['SafeMathMock.sol', 'StablecoinImplementation.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol']
1,['SafeMathMock.sol', 'UpgradeabilityStorage.sol']
5,['StablecoinWithBalance.sol', 'ERC20Proxy.sol']
2,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['StablecoinWithBalance.sol', 'AddressUtils.sol']
2,['StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
2,['ERC20Proxy.sol', 'StablecoinImplementation.sol']
6,['ERC20Proxy.sol', 'AddressUtils.sol']
6,['ERC20Proxy.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinImplementation.sol', 'AddressUtils.sol']
4,['StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
3,['AddressUtils.sol', 'UpgradeabilityStorage.sol']
