similarity,combination
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
3,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol']
3,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
3,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
2,['Migrations.sol', 'SafeMath.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol']
4,['Migrations.sol', 'SafeMath.sol', 'ERC20Proxy.sol', 'AddressUtils.sol']
6,['Migrations.sol', 'SafeMath.sol', 'ERC20Proxy.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
2,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol']
