similarity,combination
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol']
1,['PAXWithBalance.sol', 'Migrations.sol']
13,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol']
5,['PAXWithBalance.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'PAXImplementationV2.sol']
1,['PAXWithBalance.sol', 'PAXImplementation.sol']
1,['PAXWithBalance.sol', 'SafeMathMock.sol']
1,['PAXWithBalance.sol', 'AddressUtils.sol']
16,['PAXWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'PAXImplementationV1.sol']
3,['BadV2UpgradeExample.sol', 'Migrations.sol']
5,['BadV2UpgradeExample.sol', 'UpgradeabilityProxy.sol']
3,['BadV2UpgradeExample.sol', 'SafeMath.sol']
4,['BadV2UpgradeExample.sol', 'Proxy.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementationV2.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementation.sol']
3,['BadV2UpgradeExample.sol', 'SafeMathMock.sol']
3,['BadV2UpgradeExample.sol', 'AddressUtils.sol']
4,['BadV2UpgradeExample.sol', 'AdminUpgradeabilityProxy.sol']
2,['BadV2UpgradeExample.sol', 'PAXImplementationV1.sol']
16,['Migrations.sol', 'UpgradeabilityProxy.sol']
3,['Migrations.sol', 'SafeMath.sol']
7,['Migrations.sol', 'Proxy.sol']
2,['Migrations.sol', 'PAXImplementationV2.sol']
1,['Migrations.sol', 'PAXImplementation.sol']
2,['Migrations.sol', 'SafeMathMock.sol']
3,['Migrations.sol', 'AddressUtils.sol']
23,['Migrations.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'PAXImplementationV1.sol']
7,['UpgradeabilityProxy.sol', 'SafeMath.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol']
4,['UpgradeabilityProxy.sol', 'PAXImplementationV2.sol']
10,['UpgradeabilityProxy.sol', 'PAXImplementation.sol']
10,['UpgradeabilityProxy.sol', 'SafeMathMock.sol']
10,['UpgradeabilityProxy.sol', 'AddressUtils.sol']
43,['UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
6,['UpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
2,['SafeMath.sol', 'Proxy.sol']
2,['SafeMath.sol', 'PAXImplementationV2.sol']
4,['SafeMath.sol', 'PAXImplementation.sol']
1,['SafeMath.sol', 'SafeMathMock.sol']
4,['SafeMath.sol', 'AddressUtils.sol']
4,['SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'PAXImplementationV1.sol']
3,['Proxy.sol', 'PAXImplementationV2.sol']
5,['Proxy.sol', 'PAXImplementation.sol']
8,['Proxy.sol', 'SafeMathMock.sol']
5,['Proxy.sol', 'AddressUtils.sol']
30,['Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['Proxy.sol', 'PAXImplementationV1.sol']
2,['PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXImplementationV2.sol', 'SafeMathMock.sol']
3,['PAXImplementationV2.sol', 'AddressUtils.sol']
5,['PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementationV2.sol', 'PAXImplementationV1.sol']
1,['PAXImplementation.sol', 'SafeMathMock.sol']
12,['PAXImplementation.sol', 'AddressUtils.sol']
22,['PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementation.sol', 'PAXImplementationV1.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol']
22,['SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMathMock.sol', 'PAXImplementationV1.sol']
15,['AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['AddressUtils.sol', 'PAXImplementationV1.sol']
7,['AdminUpgradeabilityProxy.sol', 'PAXImplementationV1.sol']
