similarity,combination
14,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol']
5,['PAXWithBalance.sol', 'Migrations.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'AddressUtils.sol']
23,['PAXWithBalance.sol', 'Migrations.sol', 'AdminUpgradeabilityProxy.sol']
9,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
18,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
6,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol']
11,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
14,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
36,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'SafeMath.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'SafeMath.sol', 'PAXImplementation.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol', 'SafeMathMock.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol', 'AddressUtils.sol']
15,['PAXWithBalance.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
4,['PAXWithBalance.sol', 'Proxy.sol', 'PAXImplementation.sol']
5,['PAXWithBalance.sol', 'Proxy.sol', 'SafeMathMock.sol']
4,['PAXWithBalance.sol', 'Proxy.sol', 'AddressUtils.sol']
33,['PAXWithBalance.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
7,['PAXWithBalance.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
21,['PAXWithBalance.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
13,['PAXWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
12,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
21,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol']
10,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
17,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
42,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
3,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
4,['Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
8,['Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
28,['Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
