similarity,combination
2,['Migrations.sol', 'SafeMath.sol']
6,['Migrations.sol', 'Proxy.sol']
2,['Migrations.sol', 'SafeMathMock.sol']
1,['Migrations.sol', 'StablecoinWithBalance.sol']
2,['Migrations.sol', 'StablecoinImplementation.sol']
2,['Migrations.sol', 'AddressUtils.sol']
3,['Migrations.sol', 'UpgradeabilityStorage.sol']
3,['SafeMath.sol', 'Proxy.sol']
1,['SafeMath.sol', 'SafeMathMock.sol']
0,['SafeMath.sol', 'StablecoinWithBalance.sol']
2,['SafeMath.sol', 'StablecoinImplementation.sol']
2,['SafeMath.sol', 'AddressUtils.sol']
2,['SafeMath.sol', 'UpgradeabilityStorage.sol']
3,['Proxy.sol', 'SafeMathMock.sol']
2,['Proxy.sol', 'StablecoinWithBalance.sol']
3,['Proxy.sol', 'StablecoinImplementation.sol']
3,['Proxy.sol', 'AddressUtils.sol']
11,['Proxy.sol', 'UpgradeabilityStorage.sol']
1,['SafeMathMock.sol', 'StablecoinWithBalance.sol']
2,['SafeMathMock.sol', 'StablecoinImplementation.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol']
2,['SafeMathMock.sol', 'UpgradeabilityStorage.sol']
2,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['StablecoinWithBalance.sol', 'AddressUtils.sol']
1,['StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinImplementation.sol', 'AddressUtils.sol']
4,['StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
3,['AddressUtils.sol', 'UpgradeabilityStorage.sol']
