similarity,combination
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol']
5,['Migrations.sol', 'SafeMath.sol', 'ERC20BasicProxy.sol']
3,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
2,['Migrations.sol', 'SafeMath.sol', 'UpgradeabilityStorage.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
5,['Migrations.sol', 'SafeMathMock.sol', 'ERC20BasicProxy.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'StablecoinWithBalance.sol', 'ERC20BasicProxy.sol']
3,['Migrations.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
2,['Migrations.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
6,['Migrations.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
2,['Migrations.sol', 'ERC20BasicProxy.sol', 'StablecoinImplementation.sol']
6,['Migrations.sol', 'ERC20BasicProxy.sol', 'AddressUtils.sol']
8,['Migrations.sol', 'ERC20BasicProxy.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['Migrations.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
1,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
6,['SafeMath.sol', 'SafeMathMock.sol', 'ERC20BasicProxy.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'UpgradeabilityStorage.sol']
8,['SafeMath.sol', 'StablecoinWithBalance.sol', 'ERC20BasicProxy.sol']
3,['SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['SafeMath.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
2,['SafeMath.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
3,['SafeMath.sol', 'ERC20BasicProxy.sol', 'StablecoinImplementation.sol']
4,['SafeMath.sol', 'ERC20BasicProxy.sol', 'AddressUtils.sol']
2,['SafeMath.sol', 'ERC20BasicProxy.sol', 'UpgradeabilityStorage.sol']
3,['SafeMath.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['SafeMath.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
2,['SafeMath.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
8,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20BasicProxy.sol']
3,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
2,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
3,['SafeMathMock.sol', 'ERC20BasicProxy.sol', 'StablecoinImplementation.sol']
4,['SafeMathMock.sol', 'ERC20BasicProxy.sol', 'AddressUtils.sol']
2,['SafeMathMock.sol', 'ERC20BasicProxy.sol', 'UpgradeabilityStorage.sol']
3,['SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['SafeMathMock.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinWithBalance.sol', 'ERC20BasicProxy.sol', 'StablecoinImplementation.sol']
6,['StablecoinWithBalance.sol', 'ERC20BasicProxy.sol', 'AddressUtils.sol']
7,['StablecoinWithBalance.sol', 'ERC20BasicProxy.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
2,['StablecoinWithBalance.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['ERC20BasicProxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
5,['ERC20BasicProxy.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
5,['ERC20BasicProxy.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
