similarity,combination
10,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
18,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
6,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol']
9,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
16,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
36,['PAXWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'PAXImplementation.sol']
1,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
21,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
4,['PAXWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'PAXImplementation.sol']
6,['PAXWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['PAXWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
30,['PAXWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'Migrations.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
21,['PAXWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
13,['PAXWithBalance.sol', 'Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
17,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
6,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol']
7,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
10,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
37,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
10,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol']
17,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
