similarity,combination
16,['Migrations.sol', 'UpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol']
7,['Migrations.sol', 'Proxy.sol']
2,['Migrations.sol', 'SafeMathMock.sol']
1,['Migrations.sol', 'StablecoinWithBalance.sol']
2,['Migrations.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'AddressUtils.sol']
23,['Migrations.sol', 'AdminUpgradeabilityProxy.sol']
9,['UpgradeabilityProxy.sol', 'SafeMath.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol']
10,['UpgradeabilityProxy.sol', 'SafeMathMock.sol']
13,['UpgradeabilityProxy.sol', 'StablecoinWithBalance.sol']
6,['UpgradeabilityProxy.sol', 'StablecoinImplementation.sol']
10,['UpgradeabilityProxy.sol', 'AddressUtils.sol']
43,['UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['SafeMath.sol', 'Proxy.sol']
1,['SafeMath.sol', 'SafeMathMock.sol']
0,['SafeMath.sol', 'StablecoinWithBalance.sol']
2,['SafeMath.sol', 'StablecoinImplementation.sol']
2,['SafeMath.sol', 'AddressUtils.sol']
19,['SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
8,['Proxy.sol', 'SafeMathMock.sol']
7,['Proxy.sol', 'StablecoinWithBalance.sol']
4,['Proxy.sol', 'StablecoinImplementation.sol']
5,['Proxy.sol', 'AddressUtils.sol']
30,['Proxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['SafeMathMock.sol', 'StablecoinWithBalance.sol']
2,['SafeMathMock.sol', 'StablecoinImplementation.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol']
22,['SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['StablecoinWithBalance.sol', 'AddressUtils.sol']
16,['StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['StablecoinImplementation.sol', 'AddressUtils.sol']
6,['StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
15,['AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
