similarity,combination
12,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
21,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
10,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
14,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinWithBalance.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinImplementation.sol']
17,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
42,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
7,['Migrations.sol', 'Proxy.sol', 'StablecoinWithBalance.sol']
4,['Migrations.sol', 'Proxy.sol', 'StablecoinImplementation.sol']
8,['Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
28,['Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
2,['Migrations.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
23,['Migrations.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
