similarity,combination
20,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
7,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
10,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'StablecoinImplementation.sol']
13,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
41,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
20,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
18,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'StablecoinWithBalance.sol']
9,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'StablecoinImplementation.sol']
20,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
75,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
9,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
10,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
34,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
16,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
36,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
7,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
12,['Migrations.sol', 'UpgradeabilityProxy.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
41,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
8,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinWithBalance.sol']
4,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'StablecoinImplementation.sol']
9,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
30,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
7,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
21,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
6,['Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
16,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
4,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
