similarity,combination
4,['TokenSpender.sol', 'Migrations.sol']
13,['TokenSpender.sol', 'SafeMath.sol']
1,['TokenSpender.sol', 'Ownable.sol']
12,['TokenSpender.sol', 'ERC20.sol']
16,['TokenSpender.sol', 'RLC.sol']
10,['Migrations.sol', 'SafeMath.sol']
2,['Migrations.sol', 'Ownable.sol']
6,['Migrations.sol', 'ERC20.sol']
14,['Migrations.sol', 'RLC.sol']
11,['SafeMath.sol', 'Ownable.sol']
9,['SafeMath.sol', 'ERC20.sol']
25,['SafeMath.sol', 'RLC.sol']
5,['Ownable.sol', 'ERC20.sol']
9,['Ownable.sol', 'RLC.sol']
28,['ERC20.sol', 'RLC.sol']
