similarity,combination
17,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
23,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
21,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'RLC.sol']
9,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
9,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol', 'RLC.sol']
29,['TokenSpender.sol', 'Migrations.sol', 'ERC20.sol', 'RLC.sol']
26,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
27,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol', 'RLC.sol']
44,['TokenSpender.sol', 'SafeMath.sol', 'ERC20.sol', 'RLC.sol']
25,['TokenSpender.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
20,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
18,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'RLC.sol']
38,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'RLC.sol']
14,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
31,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
