similarity,combination
15,['FaucetRLC.sol', 'TokenSpender.sol', 'Migrations.sol']
24,['FaucetRLC.sol', 'TokenSpender.sol', 'SafeMath.sol']
9,['FaucetRLC.sol', 'TokenSpender.sol', 'Ownable.sol']
28,['FaucetRLC.sol', 'TokenSpender.sol', 'ERC20.sol']
20,['FaucetRLC.sol', 'Migrations.sol', 'SafeMath.sol']
8,['FaucetRLC.sol', 'Migrations.sol', 'Ownable.sol']
23,['FaucetRLC.sol', 'Migrations.sol', 'ERC20.sol']
25,['FaucetRLC.sol', 'SafeMath.sol', 'Ownable.sol']
37,['FaucetRLC.sol', 'SafeMath.sol', 'ERC20.sol']
10,['FaucetRLC.sol', 'Ownable.sol', 'ERC20.sol']
11,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol']
2,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol']
13,['TokenSpender.sol', 'Migrations.sol', 'ERC20.sol']
17,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol']
27,['TokenSpender.sol', 'SafeMath.sol', 'ERC20.sol']
8,['TokenSpender.sol', 'Ownable.sol', 'ERC20.sol']
13,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
22,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
5,['Migrations.sol', 'Ownable.sol', 'ERC20.sol']
6,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
