similarity,combination
20,['FaucetRLC.sol', 'TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol']
8,['FaucetRLC.sol', 'TokenSpender.sol', 'Migrations.sol', 'Ownable.sol']
27,['FaucetRLC.sol', 'TokenSpender.sol', 'Migrations.sol', 'ERC20.sol']
26,['FaucetRLC.sol', 'TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol']
37,['FaucetRLC.sol', 'TokenSpender.sol', 'SafeMath.sol', 'ERC20.sol']
24,['FaucetRLC.sol', 'TokenSpender.sol', 'Ownable.sol', 'ERC20.sol']
17,['FaucetRLC.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
37,['FaucetRLC.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
10,['FaucetRLC.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
46,['FaucetRLC.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
17,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
23,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
9,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
26,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
20,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
