similarity,combination
11,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol']
2,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol']
13,['TokenSpender.sol', 'Migrations.sol', 'ERC20.sol']
15,['TokenSpender.sol', 'Migrations.sol', 'RLC.sol']
17,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol']
27,['TokenSpender.sol', 'SafeMath.sol', 'ERC20.sol']
24,['TokenSpender.sol', 'SafeMath.sol', 'RLC.sol']
8,['TokenSpender.sol', 'Ownable.sol', 'ERC20.sol']
9,['TokenSpender.sol', 'Ownable.sol', 'RLC.sol']
28,['TokenSpender.sol', 'ERC20.sol', 'RLC.sol']
13,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
22,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
20,['Migrations.sol', 'SafeMath.sol', 'RLC.sol']
5,['Migrations.sol', 'Ownable.sol', 'ERC20.sol']
8,['Migrations.sol', 'Ownable.sol', 'RLC.sol']
23,['Migrations.sol', 'ERC20.sol', 'RLC.sol']
6,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
25,['SafeMath.sol', 'Ownable.sol', 'RLC.sol']
37,['SafeMath.sol', 'ERC20.sol', 'RLC.sol']
10,['Ownable.sol', 'ERC20.sol', 'RLC.sol']
