similarity,combination
49,['Migrations.sol', 'SeeleTokenFlat.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol']
1,['Migrations.sol', 'TestAddress.sol']
39,['Migrations.sol', 'SeeleCrowdSaleFlat.sol']
2,['Migrations.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'SeeleToken.sol']
26,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol']
44,['SeeleTokenFlat.sol', 'TestAddress.sol']
12,['SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol']
34,['SeeleTokenFlat.sol', 'TokenTimelock.sol']
62,['SeeleTokenFlat.sol', 'SeeleToken.sol']
7,['SeeleCrowdSale.sol', 'TestAddress.sol']
30,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
7,['SeeleCrowdSale.sol', 'TokenTimelock.sol']
7,['SeeleCrowdSale.sol', 'SeeleToken.sol']
26,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
1,['TestAddress.sol', 'TokenTimelock.sol']
1,['TestAddress.sol', 'SeeleToken.sol']
38,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
35,['SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
6,['TokenTimelock.sol', 'SeeleToken.sol']
