similarity,combination
39,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSale.sol']
42,['Migrations.sol', 'SeeleTokenFlat.sol', 'TestAddress.sol']
12,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol']
32,['Migrations.sol', 'SeeleTokenFlat.sol', 'TokenTimelock.sol']
40,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleToken.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
29,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
38,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'TestAddress.sol', 'SeeleToken.sol']
37,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
34,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['Migrations.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
25,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
9,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
38,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
35,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
12,['SeeleTokenFlat.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
29,['SeeleTokenFlat.sol', 'TestAddress.sol', 'TokenTimelock.sol']
61,['SeeleTokenFlat.sol', 'TestAddress.sol', 'SeeleToken.sol']
16,['SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
11,['SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
64,['SeeleTokenFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
29,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
8,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
7,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
28,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
26,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
8,['SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
37,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
26,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
6,['TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
24,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
