similarity,combination
38,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
15,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
37,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
34,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
12,['Migrations.sol', 'SeeleTokenFlat.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
28,['Migrations.sol', 'SeeleTokenFlat.sol', 'TestAddress.sol', 'TokenTimelock.sol']
60,['Migrations.sol', 'SeeleTokenFlat.sol', 'TestAddress.sol', 'SeeleToken.sol']
12,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
11,['Migrations.sol', 'SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
58,['Migrations.sol', 'SeeleTokenFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
28,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
27,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
26,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
8,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
36,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
33,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
4,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
23,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
9,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
37,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
26,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
15,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
15,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
24,['SeeleTokenFlat.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
16,['SeeleTokenFlat.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
11,['SeeleTokenFlat.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
62,['SeeleTokenFlat.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
11,['SeeleTokenFlat.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
27,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
20,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
8,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
18,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
24,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
