similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
36,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
45,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'TestAddress.sol', 'SeeleToken.sol']
43,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
40,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['Migrations.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
36,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
35,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
33,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
44,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
40,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
5,['TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
40,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
