similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
14,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
4,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
13,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'TestAddress.sol', 'SeeleToken.sol']
17,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
16,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['Migrations.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
14,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
4,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
14,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
13,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
17,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
16,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
16,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
