similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol']
1,['Migrations.sol', 'TestAddress.sol']
24,['Migrations.sol', 'SeeleCrowdSaleFlat.sol']
2,['Migrations.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'SeeleToken.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol']
30,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
4,['SeeleCrowdSale.sol', 'TokenTimelock.sol']
3,['SeeleCrowdSale.sol', 'SeeleToken.sol']
25,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
1,['TestAddress.sol', 'TokenTimelock.sol']
1,['TestAddress.sol', 'SeeleToken.sol']
38,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
35,['SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
6,['TokenTimelock.sol', 'SeeleToken.sol']
