similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol']
1,['Migrations.sol', 'TestAddress.sol']
39,['Migrations.sol', 'SeeleCrowdSaleFlat.sol']
2,['Migrations.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'SeeleToken.sol']
7,['SeeleCrowdSale.sol', 'TestAddress.sol']
30,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
7,['SeeleCrowdSale.sol', 'TokenTimelock.sol']
7,['SeeleCrowdSale.sol', 'SeeleToken.sol']
26,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
1,['TestAddress.sol', 'TokenTimelock.sol']
1,['TestAddress.sol', 'SeeleToken.sol']
38,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
35,['SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
6,['TokenTimelock.sol', 'SeeleToken.sol']
