similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
29,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
38,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'TestAddress.sol', 'SeeleToken.sol']
37,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
34,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['Migrations.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
29,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
8,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
7,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
28,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
27,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
8,['SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
37,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
34,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
6,['TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
24,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
