similarity,combination
3,['TimelockedSafe.sol', 'StandardToken.sol']
1,['TimelockedSafe.sol', 'Migrations.sol']
2,['TimelockedSafe.sol', 'SafeMath.sol']
1,['TimelockedSafe.sol', 'ThetaTokenSale.sol']
2,['TimelockedSafe.sol', 'ThetaToken.sol']
5,['StandardToken.sol', 'Migrations.sol']
4,['StandardToken.sol', 'SafeMath.sol']
7,['StandardToken.sol', 'ThetaTokenSale.sol']
49,['StandardToken.sol', 'ThetaToken.sol']
2,['Migrations.sol', 'SafeMath.sol']
2,['Migrations.sol', 'ThetaTokenSale.sol']
4,['Migrations.sol', 'ThetaToken.sol']
1,['SafeMath.sol', 'ThetaTokenSale.sol']
3,['SafeMath.sol', 'ThetaToken.sol']
2,['ThetaTokenSale.sol', 'ThetaToken.sol']
