similarity,combination
3,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
6,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
24,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol', 'ThetaToken.sol']
10,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
62,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol', 'ThetaToken.sol']
7,['TimelockedSafe.sol', 'StandardToken.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
9,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
87,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
19,['StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
27,['StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
