similarity,combination
5,['TimelockedSafe.sol', 'Airdrop.sol', 'StandardToken.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'Migrations.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'SafeMath.sol']
3,['TimelockedSafe.sol', 'Airdrop.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Airdrop.sol', 'ThetaToken.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'ThetaTokenSale.sol']
34,['TimelockedSafe.sol', 'StandardToken.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol']
2,['TimelockedSafe.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Migrations.sol', 'ThetaToken.sol']
2,['TimelockedSafe.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'SafeMath.sol', 'ThetaToken.sol']
4,['TimelockedSafe.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
5,['Airdrop.sol', 'StandardToken.sol', 'Migrations.sol']
4,['Airdrop.sol', 'StandardToken.sol', 'SafeMath.sol']
7,['Airdrop.sol', 'StandardToken.sol', 'ThetaTokenSale.sol']
34,['Airdrop.sol', 'StandardToken.sol', 'ThetaToken.sol']
2,['Airdrop.sol', 'Migrations.sol', 'SafeMath.sol']
3,['Airdrop.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
3,['Airdrop.sol', 'Migrations.sol', 'ThetaToken.sol']
1,['Airdrop.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
2,['Airdrop.sol', 'SafeMath.sol', 'ThetaToken.sol']
1,['Airdrop.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
5,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
8,['StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
45,['StandardToken.sol', 'Migrations.sol', 'ThetaToken.sol']
10,['StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
94,['StandardToken.sol', 'SafeMath.sol', 'ThetaToken.sol']
14,['StandardToken.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
4,['Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
2,['Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
