similarity,combination
6,['TimelockedSafe.sol', 'StandardToken.sol', 'Migrations.sol']
6,['TimelockedSafe.sol', 'StandardToken.sol', 'SafeMath.sol']
5,['TimelockedSafe.sol', 'StandardToken.sol', 'ThetaTokenSale.sol']
21,['TimelockedSafe.sol', 'StandardToken.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'Migrations.sol', 'SafeMath.sol']
3,['TimelockedSafe.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'Migrations.sol', 'ThetaToken.sol']
1,['TimelockedSafe.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
1,['TimelockedSafe.sol', 'SafeMath.sol', 'ThetaToken.sol']
3,['TimelockedSafe.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
5,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
8,['StandardToken.sol', 'Migrations.sol', 'ThetaTokenSale.sol']
45,['StandardToken.sol', 'Migrations.sol', 'ThetaToken.sol']
10,['StandardToken.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
94,['StandardToken.sol', 'SafeMath.sol', 'ThetaToken.sol']
14,['StandardToken.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ThetaTokenSale.sol']
4,['Migrations.sol', 'SafeMath.sol', 'ThetaToken.sol']
2,['Migrations.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
1,['SafeMath.sol', 'ThetaTokenSale.sol', 'ThetaToken.sol']
