similarity,combination
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol']
2,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'Voting.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'energy.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'extension.sol']
2,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'executor.sol']
2,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'params.sol', 'Voting.sol']
5,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol']
2,['prototype.sol', 'Migrations.sol', 'params.sol', 'executor.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'Voting.sol', 'energy.sol']
3,['prototype.sol', 'Migrations.sol', 'Voting.sol', 'extension.sol']
2,['prototype.sol', 'Migrations.sol', 'Voting.sol', 'executor.sol']
2,['prototype.sol', 'Migrations.sol', 'Voting.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'Voting.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol']
3,['prototype.sol', 'Migrations.sol', 'energy.sol', 'executor.sol']
3,['prototype.sol', 'Migrations.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'extension.sol', 'executor.sol']
2,['prototype.sol', 'Migrations.sol', 'extension.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'authority.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'Voting.sol', 'extension.sol']
2,['prototype.sol', 'CommodityInfo.sol', 'Voting.sol', 'executor.sol']
2,['prototype.sol', 'CommodityInfo.sol', 'Voting.sol', 'authority.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'Voting.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'builtin.sol']
0,['prototype.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol']
2,['prototype.sol', 'CommodityInfo.sol', 'extension.sol', 'authority.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'CommodityInfo.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'Voting.sol', 'energy.sol']
3,['prototype.sol', 'params.sol', 'Voting.sol', 'extension.sol']
2,['prototype.sol', 'params.sol', 'Voting.sol', 'executor.sol']
3,['prototype.sol', 'params.sol', 'Voting.sol', 'authority.sol']
4,['prototype.sol', 'params.sol', 'Voting.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'executor.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'builtin.sol']
3,['prototype.sol', 'params.sol', 'extension.sol', 'executor.sol']
3,['prototype.sol', 'params.sol', 'extension.sol', 'authority.sol']
4,['prototype.sol', 'params.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'params.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'params.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'params.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Voting.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'Voting.sol', 'energy.sol', 'executor.sol']
4,['prototype.sol', 'Voting.sol', 'energy.sol', 'authority.sol']
5,['prototype.sol', 'Voting.sol', 'energy.sol', 'builtin.sol']
0,['prototype.sol', 'Voting.sol', 'extension.sol', 'executor.sol']
2,['prototype.sol', 'Voting.sol', 'extension.sol', 'authority.sol']
4,['prototype.sol', 'Voting.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'Voting.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Voting.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'Voting.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['prototype.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['prototype.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
0,['prototype.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'extension.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'executor.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'authority.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'authority.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'builtin.sol']
1,['Migrations.sol', 'CommodityInfo.sol', 'executor.sol', 'authority.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'executor.sol', 'builtin.sol']
2,['Migrations.sol', 'CommodityInfo.sol', 'authority.sol', 'builtin.sol']
0,['Migrations.sol', 'params.sol', 'Voting.sol', 'energy.sol']
2,['Migrations.sol', 'params.sol', 'Voting.sol', 'extension.sol']
1,['Migrations.sol', 'params.sol', 'Voting.sol', 'executor.sol']
1,['Migrations.sol', 'params.sol', 'Voting.sol', 'authority.sol']
3,['Migrations.sol', 'params.sol', 'Voting.sol', 'builtin.sol']
0,['Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol']
2,['Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol']
2,['Migrations.sol', 'params.sol', 'energy.sol', 'authority.sol']
4,['Migrations.sol', 'params.sol', 'energy.sol', 'builtin.sol']
0,['Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol']
0,['Migrations.sol', 'params.sol', 'extension.sol', 'authority.sol']
3,['Migrations.sol', 'params.sol', 'extension.sol', 'builtin.sol']
1,['Migrations.sol', 'params.sol', 'executor.sol', 'authority.sol']
2,['Migrations.sol', 'params.sol', 'executor.sol', 'builtin.sol']
2,['Migrations.sol', 'params.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'Voting.sol', 'energy.sol', 'extension.sol']
2,['Migrations.sol', 'Voting.sol', 'energy.sol', 'executor.sol']
2,['Migrations.sol', 'Voting.sol', 'energy.sol', 'authority.sol']
4,['Migrations.sol', 'Voting.sol', 'energy.sol', 'builtin.sol']
1,['Migrations.sol', 'Voting.sol', 'extension.sol', 'executor.sol']
2,['Migrations.sol', 'Voting.sol', 'extension.sol', 'authority.sol']
3,['Migrations.sol', 'Voting.sol', 'extension.sol', 'builtin.sol']
1,['Migrations.sol', 'Voting.sol', 'executor.sol', 'authority.sol']
3,['Migrations.sol', 'Voting.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'Voting.sol', 'authority.sol', 'builtin.sol']
0,['Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol']
2,['Migrations.sol', 'energy.sol', 'extension.sol', 'authority.sol']
4,['Migrations.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
2,['Migrations.sol', 'energy.sol', 'executor.sol', 'authority.sol']
3,['Migrations.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
1,['Migrations.sol', 'extension.sol', 'executor.sol', 'authority.sol']
2,['Migrations.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['Migrations.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
2,['Migrations.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol']
3,['CommodityInfo.sol', 'params.sol', 'Voting.sol', 'extension.sol']
2,['CommodityInfo.sol', 'params.sol', 'Voting.sol', 'executor.sol']
2,['CommodityInfo.sol', 'params.sol', 'Voting.sol', 'authority.sol']
3,['CommodityInfo.sol', 'params.sol', 'Voting.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'executor.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'authority.sol']
4,['CommodityInfo.sol', 'params.sol', 'energy.sol', 'builtin.sol']
2,['CommodityInfo.sol', 'params.sol', 'extension.sol', 'executor.sol']
2,['CommodityInfo.sol', 'params.sol', 'extension.sol', 'authority.sol']
3,['CommodityInfo.sol', 'params.sol', 'extension.sol', 'builtin.sol']
2,['CommodityInfo.sol', 'params.sol', 'executor.sol', 'authority.sol']
3,['CommodityInfo.sol', 'params.sol', 'executor.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'params.sol', 'authority.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'extension.sol']
3,['CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'executor.sol']
3,['CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'authority.sol']
4,['CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'builtin.sol']
0,['CommodityInfo.sol', 'Voting.sol', 'extension.sol', 'executor.sol']
2,['CommodityInfo.sol', 'Voting.sol', 'extension.sol', 'authority.sol']
3,['CommodityInfo.sol', 'Voting.sol', 'extension.sol', 'builtin.sol']
2,['CommodityInfo.sol', 'Voting.sol', 'executor.sol', 'authority.sol']
3,['CommodityInfo.sol', 'Voting.sol', 'executor.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'Voting.sol', 'authority.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'energy.sol', 'extension.sol', 'executor.sol']
3,['CommodityInfo.sol', 'energy.sol', 'extension.sol', 'authority.sol']
4,['CommodityInfo.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['CommodityInfo.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
0,['CommodityInfo.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['CommodityInfo.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['CommodityInfo.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
2,['CommodityInfo.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['params.sol', 'Voting.sol', 'energy.sol', 'extension.sol']
0,['params.sol', 'Voting.sol', 'energy.sol', 'executor.sol']
0,['params.sol', 'Voting.sol', 'energy.sol', 'authority.sol']
5,['params.sol', 'Voting.sol', 'energy.sol', 'builtin.sol']
1,['params.sol', 'Voting.sol', 'extension.sol', 'executor.sol']
2,['params.sol', 'Voting.sol', 'extension.sol', 'authority.sol']
3,['params.sol', 'Voting.sol', 'extension.sol', 'builtin.sol']
0,['params.sol', 'Voting.sol', 'executor.sol', 'authority.sol']
3,['params.sol', 'Voting.sol', 'executor.sol', 'builtin.sol']
3,['params.sol', 'Voting.sol', 'authority.sol', 'builtin.sol']
0,['params.sol', 'energy.sol', 'extension.sol', 'executor.sol']
0,['params.sol', 'energy.sol', 'extension.sol', 'authority.sol']
4,['params.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['params.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['params.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['params.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
0,['params.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['params.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['params.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
2,['params.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol']
3,['Voting.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['Voting.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
0,['Voting.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['Voting.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['Voting.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
0,['Voting.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['Voting.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['Voting.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['Voting.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
0,['energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
