similarity,combination
3,['prototype.sol', 'Migrations.sol', 'params.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol']
2,['prototype.sol', 'Migrations.sol', 'extension.sol']
2,['prototype.sol', 'Migrations.sol', 'executor.sol']
2,['prototype.sol', 'Migrations.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol']
3,['prototype.sol', 'params.sol', 'extension.sol']
2,['prototype.sol', 'params.sol', 'executor.sol']
2,['prototype.sol', 'params.sol', 'authority.sol']
3,['prototype.sol', 'params.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'energy.sol', 'executor.sol']
4,['prototype.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'energy.sol', 'builtin.sol']
0,['prototype.sol', 'extension.sol', 'executor.sol']
2,['prototype.sol', 'extension.sol', 'authority.sol']
4,['prototype.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'params.sol', 'energy.sol']
0,['Migrations.sol', 'params.sol', 'extension.sol']
1,['Migrations.sol', 'params.sol', 'executor.sol']
1,['Migrations.sol', 'params.sol', 'authority.sol']
2,['Migrations.sol', 'params.sol', 'builtin.sol']
0,['Migrations.sol', 'energy.sol', 'extension.sol']
2,['Migrations.sol', 'energy.sol', 'executor.sol']
2,['Migrations.sol', 'energy.sol', 'authority.sol']
3,['Migrations.sol', 'energy.sol', 'builtin.sol']
1,['Migrations.sol', 'extension.sol', 'executor.sol']
1,['Migrations.sol', 'extension.sol', 'authority.sol']
3,['Migrations.sol', 'extension.sol', 'builtin.sol']
1,['Migrations.sol', 'executor.sol', 'authority.sol']
2,['Migrations.sol', 'executor.sol', 'builtin.sol']
2,['Migrations.sol', 'authority.sol', 'builtin.sol']
0,['params.sol', 'energy.sol', 'extension.sol']
2,['params.sol', 'energy.sol', 'executor.sol']
3,['params.sol', 'energy.sol', 'authority.sol']
4,['params.sol', 'energy.sol', 'builtin.sol']
0,['params.sol', 'extension.sol', 'executor.sol']
2,['params.sol', 'extension.sol', 'authority.sol']
3,['params.sol', 'extension.sol', 'builtin.sol']
1,['params.sol', 'executor.sol', 'authority.sol']
2,['params.sol', 'executor.sol', 'builtin.sol']
2,['params.sol', 'authority.sol', 'builtin.sol']
0,['energy.sol', 'extension.sol', 'executor.sol']
0,['energy.sol', 'extension.sol', 'authority.sol']
5,['energy.sol', 'extension.sol', 'builtin.sol']
2,['energy.sol', 'executor.sol', 'authority.sol']
3,['energy.sol', 'executor.sol', 'builtin.sol']
3,['energy.sol', 'authority.sol', 'builtin.sol']
0,['extension.sol', 'executor.sol', 'authority.sol']
3,['extension.sol', 'executor.sol', 'builtin.sol']
3,['extension.sol', 'authority.sol', 'builtin.sol']
2,['executor.sol', 'authority.sol', 'builtin.sol']
