similarity,combination
2,['prototype.sol', 'Migrations.sol', 'params.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol']
2,['prototype.sol', 'Migrations.sol', 'voting.sol']
2,['prototype.sol', 'Migrations.sol', 'extension.sol']
2,['prototype.sol', 'Migrations.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol']
3,['prototype.sol', 'params.sol', 'voting.sol']
3,['prototype.sol', 'params.sol', 'extension.sol']
2,['prototype.sol', 'params.sol', 'authority.sol']
3,['prototype.sol', 'params.sol', 'builtin.sol']
3,['prototype.sol', 'energy.sol', 'voting.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'energy.sol', 'builtin.sol']
2,['prototype.sol', 'voting.sol', 'extension.sol']
3,['prototype.sol', 'voting.sol', 'authority.sol']
3,['prototype.sol', 'voting.sol', 'builtin.sol']
2,['prototype.sol', 'extension.sol', 'authority.sol']
4,['prototype.sol', 'extension.sol', 'builtin.sol']
3,['prototype.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'params.sol', 'energy.sol']
1,['Migrations.sol', 'params.sol', 'voting.sol']
0,['Migrations.sol', 'params.sol', 'extension.sol']
1,['Migrations.sol', 'params.sol', 'authority.sol']
2,['Migrations.sol', 'params.sol', 'builtin.sol']
2,['Migrations.sol', 'energy.sol', 'voting.sol']
0,['Migrations.sol', 'energy.sol', 'extension.sol']
2,['Migrations.sol', 'energy.sol', 'authority.sol']
3,['Migrations.sol', 'energy.sol', 'builtin.sol']
1,['Migrations.sol', 'voting.sol', 'extension.sol']
1,['Migrations.sol', 'voting.sol', 'authority.sol']
2,['Migrations.sol', 'voting.sol', 'builtin.sol']
1,['Migrations.sol', 'extension.sol', 'authority.sol']
3,['Migrations.sol', 'extension.sol', 'builtin.sol']
2,['Migrations.sol', 'authority.sol', 'builtin.sol']
3,['params.sol', 'energy.sol', 'voting.sol']
0,['params.sol', 'energy.sol', 'extension.sol']
3,['params.sol', 'energy.sol', 'authority.sol']
4,['params.sol', 'energy.sol', 'builtin.sol']
0,['params.sol', 'voting.sol', 'extension.sol']
1,['params.sol', 'voting.sol', 'authority.sol']
3,['params.sol', 'voting.sol', 'builtin.sol']
2,['params.sol', 'extension.sol', 'authority.sol']
3,['params.sol', 'extension.sol', 'builtin.sol']
2,['params.sol', 'authority.sol', 'builtin.sol']
0,['energy.sol', 'voting.sol', 'extension.sol']
2,['energy.sol', 'voting.sol', 'authority.sol']
3,['energy.sol', 'voting.sol', 'builtin.sol']
0,['energy.sol', 'extension.sol', 'authority.sol']
4,['energy.sol', 'extension.sol', 'builtin.sol']
3,['energy.sol', 'authority.sol', 'builtin.sol']
1,['voting.sol', 'extension.sol', 'authority.sol']
3,['voting.sol', 'extension.sol', 'builtin.sol']
2,['voting.sol', 'authority.sol', 'builtin.sol']
3,['extension.sol', 'authority.sol', 'builtin.sol']
