similarity,combination
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'executor.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol', 'executor.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'extension.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'params.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['prototype.sol', 'Migrations.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
2,['prototype.sol', 'Migrations.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'executor.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'authority.sol']
5,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'executor.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'authority.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
2,['prototype.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['prototype.sol', 'params.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
3,['prototype.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'params.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'params.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'executor.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'authority.sol']
