similarity,combination
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'authority.sol']
5,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'executor.sol', 'authority.sol']
5,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'executor.sol', 'builtin.sol']
5,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'extension.sol', 'executor.sol', 'authority.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
5,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
5,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
5,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'CommodityInfo.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
5,['prototype.sol', 'Migrations.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
5,['prototype.sol', 'Migrations.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
5,['prototype.sol', 'Migrations.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'Migrations.sol', 'params.sol', 'Voting.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'Migrations.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
5,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
5,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
5,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
5,['prototype.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['prototype.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'builtin.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
3,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'Voting.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'params.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'CommodityInfo.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['Migrations.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
4,['CommodityInfo.sol', 'params.sol', 'Voting.sol', 'energy.sol', 'extension.sol', 'executor.sol', 'authority.sol', 'builtin.sol']
