similarity,combination
14,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol']
12,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol']
15,['ERC20Basic.sol', 'Pausable.sol', 'WaxToken.sol']
18,['ERC20Basic.sol', 'Pausable.sol', 'BasicToken.sol']
13,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol']
10,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'StandardToken.sol', 'WaxToken.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
2,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol']
6,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol']
11,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'Migrations.sol', 'WaxToken.sol']
9,['ERC20Basic.sol', 'Migrations.sol', 'BasicToken.sol']
3,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol']
8,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol']
5,['ERC20Basic.sol', 'SafeMath.sol', 'WaxToken.sol']
4,['ERC20Basic.sol', 'SafeMath.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol']
6,['ERC20Basic.sol', 'Ownable.sol', 'WaxToken.sol']
11,['ERC20Basic.sol', 'Ownable.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'ERC20.sol', 'WaxToken.sol']
4,['ERC20Basic.sol', 'ERC20.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'WaxToken.sol', 'BasicToken.sol']
6,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol']
11,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol']
11,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol']
10,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol']
10,['Pausable.sol', 'StandardToken.sol', 'WaxToken.sol']
10,['Pausable.sol', 'StandardToken.sol', 'BasicToken.sol']
1,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol']
3,['Pausable.sol', 'Migrations.sol', 'Ownable.sol']
6,['Pausable.sol', 'Migrations.sol', 'ERC20.sol']
7,['Pausable.sol', 'Migrations.sol', 'WaxToken.sol']
7,['Pausable.sol', 'Migrations.sol', 'BasicToken.sol']
