similarity,combination
13,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol']
20,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol']
18,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'WaxToken.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol']
14,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'WaxToken.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol']
13,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'WaxToken.sol']
3,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'BasicToken.sol']
13,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'WaxToken.sol']
12,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'BasicToken.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol', 'WaxToken.sol']
15,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'Pausable.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol']
14,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'WaxToken.sol']
15,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'BasicToken.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
11,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'WaxToken.sol']
13,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'WaxToken.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol', 'WaxToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
5,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
4,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol']
3,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
6,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol']
10,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol']
12,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Migrations.sol', 'WaxToken.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
1,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
3,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
4,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
23,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
11,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol']
9,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'WaxToken.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'BasicToken.sol']
15,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
10,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
11,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'WaxToken.sol']
9,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
16,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'WaxToken.sol']
14,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
14,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'WaxToken.sol']
13,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
14,['Pausable.sol', 'StandardToken.sol', 'WaxToken.sol', 'BasicToken.sol']
8,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
4,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
11,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol']
3,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
6,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
6,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol']
7,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
8,['Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol']
10,['Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
7,['Pausable.sol', 'Migrations.sol', 'WaxToken.sol', 'BasicToken.sol']
2,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
1,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
3,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
