similarity,combination
16,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
20,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol']
18,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'WaxToken.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
12,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
25,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'WaxToken.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
27,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'WaxToken.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'WaxToken.sol']
23,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
29,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'WaxToken.sol', 'BasicToken.sol']
2,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'WaxToken.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
1,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
3,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
19,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
16,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'WaxToken.sol', 'BasicToken.sol']
26,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
23,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
13,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
15,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
14,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
29,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
1,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
2,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
5,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
16,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
4,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
15,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
13,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol']
9,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
16,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol']
15,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
13,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol']
13,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
14,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'WaxToken.sol', 'BasicToken.sol']
19,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
13,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
17,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
12,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
10,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
17,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
20,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
19,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
15,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
9,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
12,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
5,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
3,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
10,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
9,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
9,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
8,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
9,['Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
3,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
5,['Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
10,['Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
12,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
16,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
15,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
10,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
13,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
17,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
16,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
12,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
15,['StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
3,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
9,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
