similarity,combination
30,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
19,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
26,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
26,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
29,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
26,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
34,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
28,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
43,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
3,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
29,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
30,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
39,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
16,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
20,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
17,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
18,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
25,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
13,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
16,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
