similarity,combination
8,['ERC20Basic.sol', 'PausableToken.sol']
5,['ERC20Basic.sol', 'Pausable.sol']
3,['ERC20Basic.sol', 'StandardToken.sol']
4,['ERC20Basic.sol', 'Migrations.sol']
3,['ERC20Basic.sol', 'SafeMath.sol']
7,['ERC20Basic.sol', 'Ownable.sol']
4,['ERC20Basic.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'ZilliqaToken.sol']
5,['ERC20Basic.sol', 'BasicToken.sol']
2,['PausableToken.sol', 'Pausable.sol']
3,['PausableToken.sol', 'StandardToken.sol']
5,['PausableToken.sol', 'Migrations.sol']
5,['PausableToken.sol', 'SafeMath.sol']
7,['PausableToken.sol', 'Ownable.sol']
6,['PausableToken.sol', 'ERC20.sol']
10,['PausableToken.sol', 'ZilliqaToken.sol']
7,['PausableToken.sol', 'BasicToken.sol']
3,['Pausable.sol', 'StandardToken.sol']
1,['Pausable.sol', 'Migrations.sol']
1,['Pausable.sol', 'SafeMath.sol']
1,['Pausable.sol', 'Ownable.sol']
4,['Pausable.sol', 'ERC20.sol']
11,['Pausable.sol', 'ZilliqaToken.sol']
4,['Pausable.sol', 'BasicToken.sol']
2,['StandardToken.sol', 'Migrations.sol']
3,['StandardToken.sol', 'SafeMath.sol']
3,['StandardToken.sol', 'Ownable.sol']
4,['StandardToken.sol', 'ERC20.sol']
9,['StandardToken.sol', 'ZilliqaToken.sol']
4,['StandardToken.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol']
1,['Migrations.sol', 'Ownable.sol']
3,['Migrations.sol', 'ERC20.sol']
5,['Migrations.sol', 'ZilliqaToken.sol']
4,['Migrations.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Ownable.sol']
2,['SafeMath.sol', 'ERC20.sol']
8,['SafeMath.sol', 'ZilliqaToken.sol']
1,['SafeMath.sol', 'BasicToken.sol']
5,['Ownable.sol', 'ERC20.sol']
11,['Ownable.sol', 'ZilliqaToken.sol']
4,['Ownable.sol', 'BasicToken.sol']
7,['ERC20.sol', 'ZilliqaToken.sol']
3,['ERC20.sol', 'BasicToken.sol']
4,['ZilliqaToken.sol', 'BasicToken.sol']
