similarity,combination
5,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol']
6,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol']
1,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'SafeMath.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Ownable.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol']
17,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol']
4,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Ownable.sol']
5,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'ERC20.sol']
23,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'ZilliqaToken.sol']
29,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'SafeMath.sol']
6,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'Ownable.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'ERC20.sol']
13,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'PausableToken.sol', 'SafeMath.sol', 'Ownable.sol']
7,['ERC20Basic.sol', 'PausableToken.sol', 'SafeMath.sol', 'ERC20.sol']
15,['ERC20Basic.sol', 'PausableToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'PausableToken.sol', 'SafeMath.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'PausableToken.sol', 'Ownable.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'PausableToken.sol', 'Ownable.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'PausableToken.sol', 'Ownable.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'PausableToken.sol', 'ERC20.sol', 'ZilliqaToken.sol']
11,['ERC20Basic.sol', 'PausableToken.sol', 'ERC20.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'PausableToken.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol']
6,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol']
5,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol']
22,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol']
6,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol']
14,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol']
2,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
2,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol']
15,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'BasicToken.sol']
18,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol', 'BasicToken.sol']
14,['ERC20Basic.sol', 'Pausable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
4,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol']
5,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
9,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
19,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
15,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
29,['ERC20Basic.sol', 'StandardToken.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
3,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
2,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
14,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
2,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
3,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
14,['ERC20Basic.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
4,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol']
6,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol']
4,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol']
5,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol']
19,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'ZilliqaToken.sol']
5,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol']
5,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol']
7,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol']
13,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'BasicToken.sol']
5,['PausableToken.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol']
1,['PausableToken.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol']
16,['PausableToken.sol', 'Pausable.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'Pausable.sol', 'SafeMath.sol', 'BasicToken.sol']
8,['PausableToken.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol']
14,['PausableToken.sol', 'Pausable.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['PausableToken.sol', 'Pausable.sol', 'Ownable.sol', 'BasicToken.sol']
16,['PausableToken.sol', 'Pausable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['PausableToken.sol', 'Pausable.sol', 'ERC20.sol', 'BasicToken.sol']
