similarity,combination
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
26,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
12,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
35,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
29,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
32,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
50,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
33,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
12,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
59,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
72,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
73,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
14,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
18,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
27,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
11,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
37,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
57,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
49,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
67,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
27,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
32,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
36,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
56,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
37,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
23,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
38,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
39,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
35,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
58,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
17,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
37,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
