similarity,combination
7,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
26,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
24,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
28,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
32,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
27,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
12,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
43,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
41,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
55,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
19,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
11,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
13,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
16,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
