similarity,combination
6,['ERC20Basic.sol', 'PausableToken.sol', 'Pausable.sol']
4,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol']
7,['ERC20Basic.sol', 'PausableToken.sol', 'SafeMath.sol']
13,['ERC20Basic.sol', 'PausableToken.sol', 'Ownable.sol']
10,['ERC20Basic.sol', 'PausableToken.sol', 'ERC20.sol']
13,['ERC20Basic.sol', 'PausableToken.sol', 'ZilliqaToken.sol']
11,['ERC20Basic.sol', 'PausableToken.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol']
1,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol']
5,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'ERC20.sol']
15,['ERC20Basic.sol', 'Pausable.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'BasicToken.sol']
3,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol']
8,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol']
4,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol']
5,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
2,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol']
4,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol']
3,['ERC20Basic.sol', 'Migrations.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'Migrations.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'Migrations.sol', 'BasicToken.sol']
2,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol']
4,['ERC20Basic.sol', 'SafeMath.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
3,['ERC20Basic.sol', 'SafeMath.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'Ownable.sol', 'ERC20.sol']
15,['ERC20Basic.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'Ownable.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'ERC20.sol', 'ZilliqaToken.sol']
3,['ERC20Basic.sol', 'ERC20.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
4,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol']
2,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol']
5,['PausableToken.sol', 'Pausable.sol', 'SafeMath.sol']
3,['PausableToken.sol', 'Pausable.sol', 'Ownable.sol']
7,['PausableToken.sol', 'Pausable.sol', 'ERC20.sol']
14,['PausableToken.sol', 'Pausable.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'Pausable.sol', 'BasicToken.sol']
3,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol']
10,['PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol']
3,['PausableToken.sol', 'StandardToken.sol', 'Ownable.sol']
4,['PausableToken.sol', 'StandardToken.sol', 'ERC20.sol']
14,['PausableToken.sol', 'StandardToken.sol', 'ZilliqaToken.sol']
13,['PausableToken.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['PausableToken.sol', 'Migrations.sol', 'SafeMath.sol']
1,['PausableToken.sol', 'Migrations.sol', 'Ownable.sol']
6,['PausableToken.sol', 'Migrations.sol', 'ERC20.sol']
10,['PausableToken.sol', 'Migrations.sol', 'ZilliqaToken.sol']
7,['PausableToken.sol', 'Migrations.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'SafeMath.sol', 'Ownable.sol']
5,['PausableToken.sol', 'SafeMath.sol', 'ERC20.sol']
12,['PausableToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
5,['PausableToken.sol', 'SafeMath.sol', 'BasicToken.sol']
12,['PausableToken.sol', 'Ownable.sol', 'ERC20.sol']
13,['PausableToken.sol', 'Ownable.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'Ownable.sol', 'BasicToken.sol']
11,['PausableToken.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['PausableToken.sol', 'ERC20.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
3,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol']
5,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol']
3,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol']
4,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol']
16,['Pausable.sol', 'StandardToken.sol', 'ZilliqaToken.sol']
5,['Pausable.sol', 'StandardToken.sol', 'BasicToken.sol']
1,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol']
1,['Pausable.sol', 'Migrations.sol', 'Ownable.sol']
3,['Pausable.sol', 'Migrations.sol', 'ERC20.sol']
5,['Pausable.sol', 'Migrations.sol', 'ZilliqaToken.sol']
4,['Pausable.sol', 'Migrations.sol', 'BasicToken.sol']
1,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol']
1,['Pausable.sol', 'SafeMath.sol', 'ERC20.sol']
8,['Pausable.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
2,['Pausable.sol', 'SafeMath.sol', 'BasicToken.sol']
3,['Pausable.sol', 'Ownable.sol', 'ERC20.sol']
11,['Pausable.sol', 'Ownable.sol', 'ZilliqaToken.sol']
4,['Pausable.sol', 'Ownable.sol', 'BasicToken.sol']
13,['Pausable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['Pausable.sol', 'ERC20.sol', 'BasicToken.sol']
